layer,type,M,K,N,Hout,Wout,Kh,Kw,Sh,Sw,Ph,Pw,groups
conv_0,gemm,256,27,32,16,16,3,3,2,2,1,1,1
conv_4,gemm,256,9,32,16,16,3,3,1,1,1,1,32
conv_8,gemm,256,32,16,16,16,1,1,1,1,0,0,1
conv_9,gemm,256,16,96,16,16,1,1,1,1,0,0,1
conv_13,gemm,64,9,96,8,8,3,3,2,2,1,1,96
conv_17,gemm,64,96,24,8,8,1,1,1,1,0,0,1
conv_18,gemm,64,24,144,8,8,1,1,1,1,0,0,1
conv_22,gemm,64,9,144,8,8,3,3,1,1,1,1,144
conv_26,gemm,64,144,24,8,8,1,1,1,1,0,0,1
conv_28,gemm,64,24,144,8,8,1,1,1,1,0,0,1
conv_32,gemm,16,9,144,4,4,3,3,2,2,1,1,144
conv_36,gemm,16,144,32,4,4,1,1,1,1,0,0,1
conv_37,gemm,16,32,192,4,4,1,1,1,1,0,0,1
conv_41,gemm,16,9,192,4,4,3,3,1,1,1,1,192
conv_45,gemm,16,192,32,4,4,1,1,1,1,0,0,1
conv_47,gemm,16,32,192,4,4,1,1,1,1,0,0,1
conv_51,gemm,16,9,192,4,4,3,3,1,1,1,1,192
conv_55,gemm,16,192,32,4,4,1,1,1,1,0,0,1
conv_57,gemm,16,32,192,4,4,1,1,1,1,0,0,1
conv_61,gemm,4,9,192,2,2,3,3,2,2,1,1,192
conv_65,gemm,4,192,64,2,2,1,1,1,1,0,0,1
conv_66,gemm,4,64,384,2,2,1,1,1,1,0,0,1
conv_70,gemm,4,9,384,2,2,3,3,1,1,1,1,384
conv_74,gemm,4,384,64,2,2,1,1,1,1,0,0,1
conv_76,gemm,4,64,384,2,2,1,1,1,1,0,0,1
conv_80,gemm,4,9,384,2,2,3,3,1,1,1,1,384
conv_84,gemm,4,384,64,2,2,1,1,1,1,0,0,1
conv_86,gemm,4,64,384,2,2,1,1,1,1,0,0,1
conv_90,gemm,4,9,384,2,2,3,3,1,1,1,1,384
conv_94,gemm,4,384,64,2,2,1,1,1,1,0,0,1
conv_96,gemm,4,64,384,2,2,1,1,1,1,0,0,1
conv_100,gemm,4,9,384,2,2,3,3,1,1,1,1,384
conv_104,gemm,4,384,96,2,2,1,1,1,1,0,0,1
conv_105,gemm,4,96,576,2,2,1,1,1,1,0,0,1
conv_109,gemm,4,9,576,2,2,3,3,1,1,1,1,576
conv_113,gemm,4,576,96,2,2,1,1,1,1,0,0,1
conv_115,gemm,4,96,576,2,2,1,1,1,1,0,0,1
conv_119,gemm,4,9,576,2,2,3,3,1,1,1,1,576
conv_123,gemm,4,576,96,2,2,1,1,1,1,0,0,1
conv_125,gemm,4,96,576,2,2,1,1,1,1,0,0,1
conv_129,gemm,1,9,576,1,1,3,3,2,2,1,1,576
conv_133,gemm,1,576,160,1,1,1,1,1,1,0,0,1
conv_134,gemm,1,160,960,1,1,1,1,1,1,0,0,1
conv_138,gemm,1,9,960,1,1,3,3,1,1,1,1,960
conv_142,gemm,1,960,160,1,1,1,1,1,1,0,0,1
conv_144,gemm,1,160,960,1,1,1,1,1,1,0,0,1
conv_148,gemm,1,9,960,1,1,3,3,1,1,1,1,960
conv_152,gemm,1,960,160,1,1,1,1,1,1,0,0,1
conv_154,gemm,1,160,960,1,1,1,1,1,1,0,0,1
conv_158,gemm,1,9,960,1,1,3,3,1,1,1,1,960
conv_162,gemm,1,960,320,1,1,1,1,1,1,0,0,1
conv_163,gemm,1,320,1280,1,1,1,1,1,1,0,0,1
gemm_169,gemm,1,1280,1280,,,,,,,,,
